model,feature_set,AUC,Accuracy,Precision,Recall,F1
Baseline (Dummy),A,0.5,0.8107,0.0,0.0,0.0
Logistic Regression,A,0.5815,0.752,0.3035,0.2392,0.2675
Random Forest,A,0.6228,0.6947,0.2878,0.4151,0.3399
Random Forest,B,0.6251,0.6971,0.2896,0.4126,0.3403
XGBoost,A,0.6137,0.6183,0.2602,0.5514,0.3536
XGBoost,B,0.6195,0.6049,0.249,0.539,0.3406
LightGBM,A,0.614,0.6739,0.2685,0.4188,0.3272
LightGBM,B,0.6135,0.6729,0.2691,0.4238,0.3292
MLP,A,0.5795,0.6701,0.2575,0.3941,0.3115
XGBoost (Growth only),Growth,0.5842,0.7069,0.2533,0.2813,0.2666
LR (Growth only),Growth,0.5991,0.7529,0.2915,0.2131,0.2462
