,企业倍数(EV除EBITDA),市净率PB(MRQ),市现率PCF(现金净流量TTM),市现率PCF(经营现金流TTM),"市盈率PE(TTM,扣除非经常性损益)",市销率PS(TTM),股息率(近12个月),MV,净资产同比增长率,总资产同比增长率,现金净流量同比增长率,营业总收入(同比增长率),profit_pc1
企业倍数(EV除EBITDA),1.0,0.3060550709239814,0.024625718345101178,0.09755258395656605,0.17182490281903115,0.3328201529820654,-0.15667637387253414,0.22641842772669238,0.2484417438833012,0.2800274113228759,0.027502594057340887,0.0823401707208775,0.051864939723370265
市净率PB(MRQ),0.3060550709239814,1.0,0.01910031620205862,0.13562268291166737,0.14963359528420025,0.6080442914291763,-0.34017333244356546,0.18298616311582178,0.24485081723712226,0.2748156795447275,0.0942300097215203,0.18683902336647756,0.03249061210995427
市现率PCF(现金净流量TTM),0.024625718345101178,0.01910031620205862,1.0,0.041188231572956265,0.0038762602000719437,0.006767614996386382,-0.018605493956654017,0.019166801503252572,0.02660490812278479,0.03159523042579705,-0.017928631863565428,0.005679079766766952,-0.000215231720256825
市现率PCF(经营现金流TTM),0.09755258395656605,0.13562268291166737,0.041188231572956265,1.0,0.047242828225055544,0.13571174670666727,-0.06571737111269474,0.032699406728348084,0.046529963940738245,0.04584337503289744,0.023530336647993026,0.02436871971826894,0.026356013403756623
"市盈率PE(TTM,扣除非经常性损益)",0.17182490281903115,0.14963359528420025,0.0038762602000719437,0.047242828225055544,1.0,0.10990399846813322,-0.07132799218900518,0.04540102581468077,0.06855600199773802,0.08019849662711742,-0.003570862539247421,0.04681067718364672,0.031641777944806285
市销率PS(TTM),0.3328201529820654,0.6080442914291763,0.006767614996386382,0.13571174670666727,0.10990399846813322,1.0,-0.30226845593080515,0.1178027837149599,0.18474102090457772,0.19585389422925878,0.07550958959870567,0.12565755743485865,0.015861181753830254
股息率(近12个月),-0.15667637387253414,-0.34017333244356546,-0.018605493956654017,-0.06571737111269474,-0.07132799218900518,-0.30226845593080515,1.0,0.11285878970157248,-0.06017337228833943,-0.06065874537349514,-0.006274135714940778,-0.08147003270926119,-0.0649314517787047
MV,0.22641842772669238,0.18298616311582178,0.019166801503252572,0.032699406728348084,0.04540102581468077,0.1178027837149599,0.11285878970157248,1.0,0.12708556234019922,0.12363586849689596,0.047649393863069066,0.06722058732304029,0.08414172252004282
净资产同比增长率,0.2484417438833012,0.24485081723712226,0.02660490812278479,0.046529963940738245,0.06855600199773802,0.18474102090457772,-0.06017337228833943,0.12708556234019922,1.0,0.7383965439794209,0.15232729411525467,0.14964116457368076,0.06995865353474955
总资产同比增长率,0.2800274113228759,0.2748156795447275,0.03159523042579705,0.04584337503289744,0.08019849662711742,0.19585389422925878,-0.06065874537349514,0.12363586849689596,0.7383965439794209,1.0,0.15322467480008406,0.28310485732165896,0.0556020611122708
现金净流量同比增长率,0.027502594057340887,0.0942300097215203,-0.017928631863565428,0.023530336647993026,-0.003570862539247421,0.07550958959870567,-0.006274135714940778,0.047649393863069066,0.15232729411525467,0.15322467480008406,1.0,0.0224017599381492,0.04659738879758825
营业总收入(同比增长率),0.0823401707208775,0.18683902336647756,0.005679079766766952,0.02436871971826894,0.04681067718364672,0.12565755743485865,-0.08147003270926119,0.06722058732304029,0.14964116457368076,0.28310485732165896,0.0224017599381492,1.0,0.2993501565610454
profit_pc1,0.051864939723370265,0.03249061210995427,-0.000215231720256825,0.026356013403756623,0.031641777944806285,0.015861181753830254,-0.0649314517787047,0.08414172252004282,0.06995865353474955,0.0556020611122708,0.04659738879758825,0.2993501565610454,1.0
