feature,coefficient,abs_coef
env_market_pe,0.9518098037694399,0.9518098037694399
MV,-0.3561139290349125,0.3561139290349125
市净率PB(MRQ),-0.08275839015017798,0.08275839015017798
净资产同比增长率,-0.07711949573572467,0.07711949573572467
profit_pc1,-0.034300221451201506,0.034300221451201506
市销率PS(TTM),-0.011898068715055032,0.011898068715055032
"市盈率PE(TTM,扣除非经常性损益)",0.0,0.0
市现率PCF(经营现金流TTM),0.0,0.0
市现率PCF(现金净流量TTM),0.0,0.0
企业倍数(EV除EBITDA),0.0,0.0
总资产同比增长率,0.0,0.0
股息率(近12个月),0.0,0.0
营业总收入(同比增长率),0.0,0.0
现金净流量同比增长率,0.0,0.0
